State,Month,Year,Min_Temp,Max_Temp,Humidity,Rainfall
Chandigarh,9,2023,24.53,28.08,81.916,3.1540000000000004
Chandigarh,9,2024,25.25,28.89,83.69866666666667,7.440666666666667
Chandigarh,10,2019,20.55,23.89,63.99677419354839,0.2129032258064516
Chandigarh,10,2020,21.14,27.31,40.19258064516129,0.0
Chandigarh,10,2021,19.44,26.68,71.04774193548387,1.5351612903225804
Chandigarh,10,2022,19.83,25.84,72.89258064516129,1.5706451612903225
Chandigarh,10,2023,19.58,25.11,67.35612903225807,0.9851612903225807
Chandigarh,10,2024,23.05,26.32,66.68161290322581,0.10548387096774195
Chandigarh,11,2019,15.36,22.39,56.27766666666666,1.049
Chandigarh,11,2020,14.8,21.35,40.382,0.6573333333333333
Chandigarh,11,2021,15.76,20.26,50.905,0.011
Chandigarh,11,2022,15.49,21.61,65.17733333333334,0.08466666666666667
Chandigarh,11,2023,17.18,22.49,58.78933333333334,0.36500000000000005
Chandigarh,11,2024,16.85,23.39,55.576,0.0
Chandigarh,12,2019,8.19,15.97,52.9341935483871,0.9254838709677419
Chandigarh,12,2020,9.56,19.13,43.11806451612903,0.4219354838709677
Chandigarh,12,2021,9.19,18.57,52.24516129032258,0.1670967741935484
Chandigarh,12,2022,12.01,17.66,56.79709677419355,0.026129032258064518
Chandigarh,12,2023,12.91,18.23,53.21225806451613,0.08612903225806451
Chandigarh,12,2024,11.7,18.26,48.318709677419356,1.1941935483870967
Chattisgarh,1,2019,14.4,20.62,51.10677419354838,0.362258064516129
Chattisgarh,1,2020,12.11,20.04,72.72967741935483,0.9096774193548387
Chattisgarh,1,2021,15.28,22.27,60.03806451612903,0.0664516129032258
Chattisgarh,1,2022,12.95,19.58,73.09096774193549,0.947741935483871
Chattisgarh,1,2023,12.86,21.96,64.22548387096774,0.09483870967741936
Chattisgarh,1,2024,14.18,19.86,71.12161290322581,0.20806451612903226
Chattisgarh,1,2025,15.1,22.66,57.480645161290326,0.0
Chattisgarh,2,2019,15.98,27.58,42.392857142857146,0.5442857142857143
Chattisgarh,2,2020,14.34,22.83,64.33586206896551,2.9417241379310344
Chattisgarh,2,2021,16.56,27.2,41.96928571428572,0.28785714285714287
Chattisgarh,2,2022,15.21,23.93,55.737142857142864,0.6360714285714285
Chattisgarh,2,2023,17.54,25.73,37.090357142857144,0.0
Chattisgarh,2,2024,17.18,24.96,56.76862068965517,0.37551724137931036
Chattisgarh,3,2019,21.3,33.1,33.67032258064516,0.6629032258064517
Chattisgarh,3,2020,21.57,29.07,63.946451612903225,2.0703225806451617
Chattisgarh,3,2021,24.86,32.11,23.953225806451613,0.19774193548387095
Chattisgarh,3,2022,23.79,32.43,35.98258064516129,0.008064516129032258
Chattisgarh,3,2023,23.15,30.44,39.390967741935484,1.5703225806451613
